epsilon,genre,composition,unique_pitches,entropy,syncopation,constraint_violations,n_events,generation_time_s
1.0,electronic,9,23,4.3332,0.6774,0,62,0.000341
1.0,classical,0,18,3.9862,0.7037,0,27,0.000193
1.0,classical,1,16,3.866,0.8148,0,27,0.000183
1.0,classical,2,16,3.8963,0.6429,0,28,0.000263
1.0,classical,3,18,3.9749,0.6944,0,36,0.000243
1.0,classical,4,21,4.2181,0.6111,0,36,0.000231
1.0,classical,5,17,3.9056,0.6562,0,32,0.000205
1.0,classical,6,16,3.8635,0.64,0,25,0.000182
1.0,classical,7,15,3.764,0.4444,0,27,0.000197
1.0,classical,8,18,4.0141,0.7778,0,27,0.000191
1.0,classical,9,19,4.1375,0.7143,0,28,0.000243
1.0,math,0,15,3.8522,0.4706,0,17,0.000152
1.0,math,1,10,3.1219,0.65,0,20,0.000164
1.0,math,2,13,3.4714,0.5789,0,19,0.000149
1.0,math,3,11,3.1692,0.6471,0,17,0.00014
1.0,math,4,13,3.6169,0.4706,0,17,0.000143
1.0,math,5,11,3.3321,0.5714,0,21,0.000153
1.0,math,6,14,3.7345,0.4706,0,17,0.000152
1.0,math,7,11,3.3927,0.6154,0,13,0.000173
1.0,math,8,11,3.3927,0.6154,0,13,0.000164
1.0,math,9,15,3.7544,0.4545,0,22,0.000201
