generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_scale_fit,best_density_fit,best_sync_fit,genre
67,0.996529,0.92537,0.984843,0.016633,0.9956,0.997,0.9951,jazz
68,0.996529,0.892187,0.980265,0.02626,0.9956,0.997,0.9951,jazz
69,0.996529,0.889061,0.983618,0.021555,0.9956,0.997,0.9951,jazz
70,0.996529,0.931891,0.985603,0.01526,0.9956,0.997,0.9951,jazz
71,0.996529,0.91324,0.985399,0.016107,0.9956,0.997,0.9951,jazz
72,0.996529,0.901305,0.984294,0.019586,0.9956,0.997,0.9951,jazz
73,0.996529,0.939989,0.986897,0.013665,0.9956,0.997,0.9951,jazz
74,0.996529,0.91451,0.983635,0.018566,0.9956,0.997,0.9951,jazz
75,0.996576,0.954217,0.987873,0.011461,0.9958,0.997,0.9951,jazz
76,0.996576,0.919309,0.988488,0.015341,0.9958,0.997,0.9951,jazz
77,0.996631,0.945391,0.991196,0.009875,0.9959,0.997,0.9951,jazz
78,0.996631,0.899741,0.989796,0.017834,0.9959,0.997,0.9951,jazz
79,0.996631,0.965777,0.993556,0.006082,0.9959,0.997,0.9951,jazz
80,0.996814,0.931862,0.992267,0.011795,0.9966,0.997,0.9951,jazz
81,0.996814,0.912618,0.992043,0.012642,0.9966,0.997,0.9951,jazz
82,0.996814,0.934191,0.993276,0.009208,0.9966,0.997,0.9951,jazz
83,0.996814,0.959698,0.993029,0.008541,0.9966,0.997,0.9951,jazz
84,0.9972,0.924589,0.993177,0.010594,0.9978,0.997,0.9951,jazz
85,0.9972,0.933556,0.993028,0.010634,0.9978,0.997,0.9951,jazz
86,0.997284,0.951013,0.993669,0.008677,0.9981,0.997,0.9951,jazz
87,0.997284,0.923876,0.99184,0.014124,0.9981,0.997,0.9951,jazz
88,0.997284,0.938909,0.993755,0.010226,0.9981,0.997,0.9951,jazz
89,0.997284,0.983114,0.995992,0.002301,0.9981,0.997,0.9951,jazz
90,0.997284,0.926554,0.993931,0.011738,0.9981,0.997,0.9951,jazz
91,0.997284,0.933964,0.992019,0.013499,0.9981,0.997,0.9951,jazz
92,0.997353,0.938676,0.995084,0.008634,0.9984,0.997,0.9951,jazz
93,0.997353,0.972972,0.995989,0.003551,0.9984,0.997,0.9951,jazz
94,0.997353,0.964929,0.995934,0.004766,0.9984,0.997,0.9951,jazz
95,0.997392,0.953214,0.994839,0.00749,0.9985,0.997,0.9951,jazz
96,0.997392,0.966589,0.996037,0.004615,0.9985,0.997,0.9951,jazz
97,0.997392,0.992175,0.997093,0.000813,0.9985,0.997,0.9951,jazz
98,0.997427,0.993817,0.997098,0.000736,0.9986,0.997,0.9951,jazz
99,0.997439,0.989087,0.997073,0.001473,0.9986,0.997,0.9951,jazz
0,0.941223,0.415238,0.684624,0.116989,0.9344,0.9824,0.9587,classical
1,0.941223,0.588688,0.769274,0.085021,0.9344,0.9824,0.9587,classical
2,0.941223,0.680361,0.801608,0.064976,0.9344,0.9824,0.9587,classical
3,0.946339,0.726294,0.841398,0.059776,0.9514,0.9824,0.9587,classical
4,0.95449,0.739563,0.876093,0.046837,0.9541,0.9824,0.9308,classical
5,0.957147,0.830019,0.890744,0.034056,0.9533,0.9969,0.9308,classical
6,0.957147,0.749492,0.894149,0.04157,0.9533,0.9969,0.9308,classical
7,0.957147,0.794271,0.908361,0.033346,0.9533,0.9969,0.9308,classical
8,0.962691,0.83017,0.922181,0.030563,0.9567,0.9969,0.9308,classical
9,0.962691,0.87275,0.928174,0.021974,0.9567,0.9969,0.9308,classical
10,0.966411,0.819458,0.928242,0.028872,0.9599,0.9824,0.9308,classical
11,0.966411,0.854828,0.934639,0.024149,0.9599,0.9824,0.9308,classical
12,0.967103,0.866255,0.935229,0.025298,0.9622,0.9824,0.9308,classical
13,0.974709,0.854953,0.938863,0.024178,0.9564,0.9824,0.9628,classical
14,0.974709,0.858402,0.947665,0.019606,0.9564,0.9824,0.9628,classical
15,0.974709,0.858951,0.946843,0.02156,0.9564,0.9824,0.9628,classical
16,0.974709,0.88986,0.948458,0.021677,0.9564,0.9824,0.9628,classical
17,0.975479,0.872814,0.951314,0.020369,0.959,0.9824,0.9628,classical
18,0.975479,0.848209,0.948669,0.025761,0.959,0.9824,0.9628,classical
19,0.978782,0.816179,0.94585,0.031102,0.9706,0.9824,0.9615,classical
20,0.978782,0.83632,0.944133,0.029301,0.9706,0.9824,0.9615,classical
21,0.978782,0.856248,0.94569,0.030665,0.9706,0.9824,0.9615,classical
22,0.979105,0.853334,0.945602,0.028374,0.9772,0.9824,0.9721,classical
23,0.979105,0.881386,0.95506,0.019577,0.9772,0.9824,0.9721,classical
24,0.979105,0.896143,0.957016,0.019094,0.9772,0.9824,0.9721,classical
25,0.979854,0.907777,0.950601,0.022157,0.97,0.9824,0.9615,classical
26,0.980414,0.839273,0.948774,0.030865,0.9713,0.9824,0.9628,classical
27,0.980414,0.900773,0.957707,0.018624,0.9713,0.9824,0.9628,classical
28,0.986726,0.856729,0.9517,0.028351,0.9758,0.9824,0.9958,classical
29,0.986726,0.897623,0.962315,0.020404,0.9758,0.9824,0.9958,classical
30,0.986726,0.914333,0.965685,0.014952,0.9758,0.9824,0.9958,classical
31,0.987807,0.881215,0.962295,0.024679,0.9707,0.9955,0.9958,classical
32,0.987807,0.879978,0.962786,0.025827,0.9707,0.9955,0.9958,classical
33,0.987807,0.903399,0.966523,0.019494,0.9707,0.9955,0.9958,classical
34,0.987807,0.901892,0.969719,0.018991,0.9707,0.9955,0.9958,classical
35,0.987807,0.877962,0.972173,0.018497,0.9707,0.9955,0.9958,classical
36,0.987807,0.879849,0.963674,0.025847,0.9707,0.9955,0.9958,classical
37,0.988901,0.914199,0.967369,0.020331,0.9743,0.9955,0.9958,classical
38,0.988901,0.911142,0.967788,0.017946,0.9743,0.9955,0.9958,classical
39,0.988901,0.884346,0.961393,0.025854,0.9743,0.9955,0.9958,classical
40,0.988901,0.892561,0.966503,0.020317,0.9743,0.9955,0.9958,classical
41,0.988901,0.871387,0.969458,0.023466,0.9743,0.9955,0.9958,classical
42,0.988901,0.905823,0.975755,0.015346,0.9743,0.9955,0.9958,classical
43,0.990036,0.905599,0.974681,0.017755,0.9781,0.9955,0.9958,classical
44,0.990036,0.930217,0.97466,0.015797,0.9781,0.9955,0.9958,classical
45,0.99006,0.923072,0.979049,0.012081,0.9782,0.9955,0.9958,classical
46,0.990591,0.937652,0.979323,0.011096,0.98,0.9955,0.9958,classical
47,0.992193,0.908302,0.973183,0.021452,0.9849,0.9955,0.9958,classical
48,0.992928,0.937284,0.975989,0.016388,0.9877,0.9955,0.9958,classical
49,0.992928,0.898391,0.972573,0.023759,0.9877,0.9955,0.9958,classical
50,0.994697,0.871735,0.977855,0.020153,0.9936,0.9955,0.9958,classical
51,0.994697,0.946516,0.981312,0.011625,0.9936,0.9955,0.9958,classical
52,0.994697,0.917732,0.977885,0.019125,0.9936,0.9955,0.9958,classical
53,0.994697,0.91689,0.980697,0.018432,0.9936,0.9955,0.9958,classical
54,0.994697,0.909913,0.982357,0.01709,0.9936,0.9955,0.9958,classical
55,0.994697,0.922363,0.984999,0.01359,0.9936,0.9955,0.9958,classical
56,0.994697,0.938811,0.984392,0.010656,0.9936,0.9955,0.9958,classical
57,0.994697,0.918389,0.983685,0.015773,0.9936,0.9955,0.9958,classical
58,0.994697,0.925472,0.984992,0.01254,0.9936,0.9955,0.9958,classical
59,0.994697,0.921917,0.983331,0.014743,0.9936,0.9955,0.9958,classical
60,0.994697,0.907142,0.977854,0.022106,0.9936,0.9955,0.9958,classical
61,0.994697,0.843254,0.976104,0.030519,0.9936,0.9955,0.9958,classical
62,0.994697,0.940251,0.98259,0.013104,0.9936,0.9955,0.9958,classical
63,0.994697,0.927331,0.982002,0.015336,0.9936,0.9955,0.9958,classical
64,0.994697,0.920155,0.981616,0.017049,0.9936,0.9955,0.9958,classical
65,0.994697,0.942094,0.984995,0.012512,0.9936,0.9955,0.9958,classical
66,0.994697,0.951841,0.988001,0.008845,0.9936,0.9955,0.9958,classical
67,0.994697,0.920074,0.987072,0.013644,0.9936,0.9955,0.9958,classical
68,0.994697,0.933211,0.985765,0.014147,0.9936,0.9955,0.9958,classical
69,0.994697,0.95034,0.989536,0.007722,0.9936,0.9955,0.9958,classical
70,0.994697,0.904156,0.985876,0.017303,0.9936,0.9955,0.9958,classical
71,0.994813,0.906126,0.982556,0.020983,0.994,0.9955,0.9958,classical
72,0.994813,0.925862,0.987293,0.013638,0.994,0.9955,0.9958,classical
73,0.995079,0.944891,0.990846,0.007826,0.9949,0.9955,0.9958,classical
74,0.995079,0.923128,0.98675,0.014941,0.9949,0.9955,0.9958,classical
75,0.995194,0.939023,0.989443,0.010407,0.9953,0.9955,0.9958,classical
76,0.995194,0.866211,0.989188,0.01895,0.9953,0.9955,0.9958,classical
77,0.995567,0.911856,0.990396,0.013399,0.9965,0.9955,0.9958,classical
78,0.995567,0.936296,0.992819,0.008156,0.9965,0.9955,0.9958,classical
79,0.995567,0.923183,0.991612,0.011273,0.9965,0.9955,0.9958,classical
80,0.995633,0.986904,0.993877,0.002043,0.9968,0.9955,0.9958,classical
81,0.995711,0.944077,0.992157,0.00845,0.997,0.9955,0.9958,classical
82,0.995711,0.940351,0.989317,0.012284,0.997,0.9955,0.9958,classical
83,0.995711,0.831503,0.987367,0.024695,0.997,0.9955,0.9958,classical
84,0.995717,0.919684,0.98984,0.013284,0.997,0.9955,0.9958,classical
85,0.99587,0.936582,0.991843,0.010073,0.9976,0.9955,0.9958,classical
86,0.99592,0.913017,0.989455,0.01811,0.9977,0.9955,0.9958,classical
87,0.99592,0.905993,0.991495,0.014937,0.9977,0.9955,0.9958,classical
88,0.995924,0.954506,0.993068,0.008064,0.9977,0.9955,0.9958,classical
89,0.995945,0.940559,0.9934,0.008408,0.9978,0.9955,0.9958,classical
90,0.995971,0.947389,0.993876,0.008537,0.9979,0.9955,0.9958,classical
91,0.995971,0.981472,0.994925,0.002959,0.9979,0.9955,0.9958,classical
92,0.995971,0.973418,0.995224,0.003191,0.9979,0.9955,0.9958,classical
