constraint_a,constraint_b,tightness,trial,entropy,range,density,syncopation,surprise
funnel,funnel,0.2,4,4.2412,24,1.5993,0.8235,0.9634
funnel,funnel,0.5,0,4.2016,24,1.6626,0.6604,0.9468
funnel,funnel,0.5,1,4.4114,24,2.2552,0.5714,0.9672
funnel,funnel,0.5,2,4.2913,24,2.2369,0.5672,0.9738
funnel,funnel,0.5,3,4.4611,24,2.1588,0.6308,0.9733
funnel,funnel,0.5,4,4.3647,24,2.429,0.5205,0.8035
funnel,funnel,0.8,0,4.3852,24,2.2209,0.0,0.9695
funnel,funnel,0.8,1,4.3223,24,2.5659,0.0,0.9798
funnel,funnel,0.8,2,4.3153,24,2.0951,0.0,0.8943
funnel,funnel,0.8,3,4.2894,24,2.3219,0.0,0.9605
funnel,funnel,0.8,4,4.2306,24,2.4199,0.0,0.9269
funnel,consensus,0.2,0,4.0197,20,1.9722,0.8644,0.8498
funnel,consensus,0.2,1,3.9989,19,2.4539,0.8846,0.7892
funnel,consensus,0.2,2,3.9612,19,1.9203,0.8966,0.9526
funnel,consensus,0.2,3,4.1519,20,1.9018,0.85,0.8253
funnel,consensus,0.2,4,4.1236,19,2.3723,0.9041,0.7065
funnel,consensus,0.5,0,3.5892,12,2.2,0.7714,0.8955
funnel,consensus,0.5,1,3.5324,12,1.9823,0.7937,0.9349
funnel,consensus,0.5,2,3.4301,12,2.6787,0.7765,0.7382
funnel,consensus,0.5,3,3.4973,11,2.1324,0.7424,0.8303
funnel,consensus,0.5,4,3.4506,12,1.8325,0.7895,0.8691
funnel,consensus,0.8,0,2.488,5,2.0008,0.5323,0.9199
funnel,consensus,0.8,1,2.4283,5,2.5655,0.5122,0.9658
funnel,consensus,0.8,2,2.3973,5,2.3569,0.5068,0.7563
funnel,consensus,0.8,3,2.3931,5,2.0697,0.5161,0.9712
funnel,consensus,0.8,4,2.434,5,1.8602,0.5,0.8029
funnel,tempo,0.2,0,4.3916,24,2.368,0.7162,0.8758
funnel,tempo,0.2,1,4.3111,24,1.9355,0.75,0.8074
funnel,tempo,0.2,2,4.4193,24,1.9512,0.6833,0.6916
funnel,tempo,0.2,3,4.289,24,2.336,0.6301,0.7874
funnel,tempo,0.2,4,4.3905,24,2.3871,0.7297,0.695
funnel,tempo,0.5,0,4.4284,24,2.2333,0.3284,0.6954
funnel,tempo,0.5,1,4.1555,24,1.8065,0.3571,0.9842
funnel,tempo,0.5,2,4.2873,23,2.2258,0.3913,0.7405
funnel,tempo,0.5,3,4.4835,24,2.1333,0.4531,0.7742
funnel,tempo,0.5,4,4.2104,23,1.6421,0.4038,0.9801
funnel,tempo,0.8,0,4.3907,24,2.0,0.0,0.6879
funnel,tempo,0.8,1,4.3508,24,2.3871,0.0,0.6826
funnel,tempo,0.8,2,4.495,24,2.0323,0.0,0.8595
funnel,tempo,0.8,3,4.3984,24,2.0645,0.0,0.8579
funnel,tempo,0.8,4,4.4022,24,2.5,0.0,0.6029
funnel,dissonance,0.2,0,4.4419,24,2.4444,0.8421,0.8053
funnel,dissonance,0.2,1,4.3487,24,2.0042,0.8197,0.9568
funnel,dissonance,0.2,2,4.4255,24,2.395,0.9054,0.7444
funnel,dissonance,0.2,3,4.3686,24,2.1111,0.9091,0.7561
