genre_a,genre_b,t,composition,n_events,entropy,unique_pitches,scale_conf_a,scale_conf_b,center_dist_a,center_dist_b
jazz,classical,0.6842,0,24,3.6054,14,0.4167,0.6667,0.6875,0.3542
jazz,classical,0.6842,1,22,3.914,16,0.5,0.7273,0.8902,0.5568
jazz,classical,0.6842,2,28,4.2359,21,0.6071,0.7143,1.2798,0.9464
jazz,classical,0.6842,3,21,3.7257,14,0.6667,0.4762,0.2183,0.5516
jazz,classical,0.6842,4,24,3.835,16,0.7083,0.4583,0.7708,0.4375
jazz,classical,0.7368,0,33,3.9573,18,0.5758,0.6061,0.0303,0.303
jazz,classical,0.7368,1,28,3.8388,17,0.3929,0.6786,0.5149,0.1815
jazz,classical,0.7368,2,27,3.764,15,0.5556,0.5926,0.1821,0.1512
jazz,classical,0.7368,3,28,3.6281,14,0.6786,0.4286,1.0655,0.7321
jazz,classical,0.7368,4,31,3.9536,17,0.5161,0.4839,0.3763,0.043
jazz,classical,0.7895,0,28,3.5567,13,0.5714,0.5714,0.5804,0.247
jazz,classical,0.7895,1,23,3.8279,16,0.6087,0.5652,1.0652,0.7319
jazz,classical,0.7895,2,20,3.4037,13,0.55,0.6,0.6792,0.3458
jazz,classical,0.7895,3,18,3.2391,11,0.5,0.6111,0.5556,0.2222
jazz,classical,0.7895,4,20,3.2087,10,0.75,0.45,1.0167,0.6833
jazz,classical,0.8421,0,23,3.3603,12,0.5217,0.5652,0.1087,0.2246
jazz,classical,0.8421,1,30,4.1232,19,0.5667,0.7,2.1944,1.8611
jazz,classical,0.8421,2,21,2.8152,8,0.4762,0.5714,0.3492,0.0159
jazz,classical,0.8421,3,24,3.9387,17,0.7083,0.5417,0.8715,0.5382
jazz,classical,0.8421,4,24,2.8868,10,0.7917,0.3333,0.5903,0.2569
jazz,classical,0.8947,0,26,4.0851,19,0.4615,0.6154,0.6442,0.3109
jazz,classical,0.8947,1,22,3.5726,14,0.5455,0.6818,0.1061,0.4394
jazz,classical,0.8947,2,19,3.3661,11,0.4211,0.7895,0.5658,0.2325
jazz,classical,0.8947,3,28,3.6106,14,0.7143,0.5,0.8839,0.5506
